100002963834890,1436,107,136,1679
117740101588188,172,179,1165,1516
130964097428657,104,118,853,1075
100035861103952,0,516,0,516
374777242078,186,145,165,496
829930517018160,160,44,288,492
160355148441,233,106,151,490
357595679961,227,128,119,474
248570208512540,141,116,195,452
547086392127178,27,46,378,451
100054250811,132,145,161,438
126350271266029,5,419,2,426
1924315711129121,111,124,173,408
418938474921540,108,153,141,402
446909295478951,54,172,157,383
100000247592543,3,19,358,380
324658284241923,105,145,130,380
695605000462574,163,81,135,379
53788620694,133,98,147,378
100015310546742,13,331,27,371
636794109715023,108,119,144,371
100033199600749,343,1,24,368
399457983475171,108,77,167,352
36786411434,123,118,108,349
148935899035062,66,36,214,316
278014150178,110,101,104,315
151460515460306,80,104,125,309
17353926534,96,77,136,309
560952207389036,18,54,235,307
183297035641815,0,305,0,305
1075403692475500,58,97,123,278
221887531226639,117,55,93,265
100005000110408,9,24,216,249
1349623128382723,88,67,81,236
100007919088850,13,28,195,236
177732508945656,71,76,59,206
1835436530080609,4,202,0,206
1789669021300215,17,49,135,201
215746401869285,17,167,12,196
803774136380640,60,66,70,196
100004252996449,25,29,142,196
399348290106387,27,122,45,194
101746656537875,69,66,58,193
100003580853998,0,13,178,191
316323706189,59,78,43,180
100014868823187,56,36,83,175
345623530330,60,43,69,172
100030646474950,4,4,161,169
1903225123300369,51,23,79,153
1604364509786694,0,151,0,151
216125892124888,73,35,40,148
770629579714826,62,39,45,146
101433349930850,41,78,24,143
836336466431978,0,140,0,140
100000032118231,7,121,11,139
100003626523798,40,33,64,137
100028911802660,3,35,96,134
223280997726259,29,80,25,134
350005585069284,9,18,99,126
231446764550,43,54,27,124
304998839975927,19,94,10,123
1717088301910791,3,16,104,123
1494458400577584,30,37,55,122
155169461191383,36,46,39,121
329231080955606,0,118,0,118
1293990020657079,52,33,32,117
177892288911274,34,27,54,115
120758761279486,39,30,44,113
225952730433,39,39,34,112
271619792961653,1,107,0,108
100003916542604,43,23,42,108
163477760333917,0,107,0,107
1526476210733836,27,48,27,102
308663992563646,34,8,60,102
39933559610,29,34,38,101
1537921806485653,7,67,26,100
173403976030351,4,81,13,98
100000955067086,55,30,13,98
245209868865316,27,32,37,96
100012944056493,13,20,61,94
152891368713760,40,25,26,91
100001865026150,38,28,23,89
100001444790912,45,6,36,87
100003444987783,71,9,5,85
227268729878,24,17,44,85
100026208588326,37,12,35,84
100028398128335,82,2,0,84
67785172904,16,50,17,83
100024278643734,25,15,43,83
1188245769,18,30,35,83
100015553742649,33,25,24,82
117118211673312,24,34,24,82
1764304046,45,26,10,81
100018871364960,3,9,69,81
284251334961090,12,43,26,81
126199244186065,36,21,24,81
100009263896074,3,49,28,80
220030235145507,19,14,46,79
121483221212747,0,78,0,78
